Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Five Nights At Freddy's Doom,CaioOpaleiroBR,Ages 13+,896,487784,146700000.0,0,0,2022-01-17,2024-11-01,100,Survival,120000.0,12000.0,2,0.9090909090909091,0.09090909090909094
Five Nights TD Modded 2[🍀SEASON 5 REVAMP⏳],Modded FNAF Developments!,All Ages,612,3321,5000000.0,0,0,2024-10-20,2024-11-12,50,Simulation,2929.0,323.0,0,0.9006765067650676,0.09932349323493239
Flag Wars! 🎃,Scriptly Studios™,Ages 9+,1714,3220056,590000000.0,0,0,2019-05-25,2024-11-13,14,Action,414000.0,51000.0,5,0.8903225806451613,0.10967741935483866
Flee the Facility,A.W. Apps,Ages 9+,9720,8932660,4600000000.0,0,0,2017-07-01,2024-10-25,5,Survival,2000000.0,202000.0,7,0.9082652134423251,0.09173478655767486
Football Stars 2,Sungaze,All Ages,89,24014,13700000.0,0,0,2021-12-06,2024-10-24,40,Sports & Racing,12000.0,1831.0,3,0.8676162244233967,0.1323837755766033
FREE ADMIN LAND,Banana Studios Something,Ages 9+,603,3272267,41900000.0,0,0,2023-02-12,2024-11-12,11,Simulation,9709.0,6738.0,1,0.5903204231774791,0.4096795768225209
Free Draw,Free Draw! Community,All Ages,1779,1057171,281600000.0,0,0,2018-03-25,2024-11-13,16,Party & Casual,307000.0,69000.0,6,0.8164893617021277,0.18351063829787229
Frogge,Sleep Paralysis Demons,Ages 9+,682,971139,391300000.0,0,0,2020-04-02,2023-12-24,13,Survival,135000.0,20000.0,3,0.8709677419354839,0.12903225806451613
Furry Infection game [Furinfection],Kiwi Games.,Ages 9+,1362,133092,156100000.0,0,0,2022-08-22,2024-10-26,20,Survival,20000.0,9977.0,2,0.6671781699302799,0.3328218300697201
Garten of Banban,Jule Games x Euphoric Bros,All Ages,630,320055,255800000.0,0,0,2023-02-06,2024-10-22,35,Adventure,139000.0,21000.0,1,0.86875,0.13124999999999998
Generic Cooking Game [Legacy],Hexbit Studios,All Ages,4,332,66200.0,0,0,2024-06-08,2024-06-08,6,Simulation,70.0,24.0,0,0.7446808510638298,0.25531914893617025
Get Fat And Roll Race,pug x axel,All Ages,603,85627,46900000.0,0,0,2023-08-19,2024-10-12,8,Simulation,55000.0,6302.0,1,0.8971974813219797,0.10280251867802026
Getting Over it[Remastered]🔨,yaseenrahmanking,All Ages,246,93988,48300000.0,0,0,2023-02-11,2024-08-11,20,Obby & Platformer,40000.0,78000.0,1,0.3389830508474576,0.6610169491525424
